time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-23 00:00:00+00:00,1,1,0,0
2025-08-26 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,0,0,3,1
2025-08-30 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,1,1,1,1
2025-09-08 00:00:00+00:00,0,0,1,1
2025-09-09 00:00:00+00:00,7,5,5,1
2025-09-13 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,1,1,0,0
2025-09-16 00:00:00+00:00,2,2,0,0
2025-09-17 00:00:00+00:00,0,0,3,1
2025-09-19 00:00:00+00:00,0,0,6,1
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-25 00:00:00+00:00,1,1,2,2
2025-09-27 00:00:00+00:00,2,2,0,0
2025-10-03 00:00:00+00:00,0,0,4,1
2025-10-04 00:00:00+00:00,2,2,4,1
2025-10-05 00:00:00+00:00,0,0,2,1
2025-10-09 00:00:00+00:00,1,1,0,0
2025-10-11 00:00:00+00:00,1,1,0,0
2025-10-18 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
