time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-27 00:00:00+00:00,1,1,0,0
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-02 00:00:00+00:00,15,15,39,1
2025-09-03 00:00:00+00:00,1,1,2,1
2025-09-06 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-08 00:00:00+00:00,2,2,3,1
2025-09-11 00:00:00+00:00,1,1,0,0
2025-09-13 00:00:00+00:00,2,2,0,0
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,1,1,0,0
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-22 00:00:00+00:00,10,10,4,1
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-25 00:00:00+00:00,1,1,0,0
2025-09-26 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-09-28 00:00:00+00:00,1,1,0,0
2025-09-29 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,0,0,1,1
2025-10-05 00:00:00+00:00,1,1,0,0
2025-10-08 00:00:00+00:00,2,1,0,0
2025-10-10 00:00:00+00:00,1,1,0,0
