time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-22 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,2,2,0,0
2025-08-24 00:00:00+00:00,2,2,0,0
2025-08-25 00:00:00+00:00,1,1,0,0
2025-08-26 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-08 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,0,0,2,1
2025-09-18 00:00:00+00:00,1,1,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-10-06 00:00:00+00:00,2,2,0,0
2025-10-09 00:00:00+00:00,1,1,0,0
2025-10-15 00:00:00+00:00,0,0,1,1
2025-10-16 00:00:00+00:00,1,1,0,0
2025-10-18 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,4,2,0,0
