time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-28 00:00:00+00:00,1,1,0,0
2025-09-09 00:00:00+00:00,1,1,3,1
2025-09-13 00:00:00+00:00,1,1,0,0
2025-09-16 00:00:00+00:00,2,2,0,0
2025-09-18 00:00:00+00:00,1,1,0,0
2025-09-19 00:00:00+00:00,2,1,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-10-02 00:00:00+00:00,0,0,6,1
2025-10-03 00:00:00+00:00,0,0,2,1
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-13 00:00:00+00:00,3,2,0,0
2025-10-20 00:00:00+00:00,1,1,0,0
2025-10-22 00:00:00+00:00,0,0,1,1
2025-10-24 00:00:00+00:00,1,1,0,0
