time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-23 00:00:00+00:00,0,0,0,0
2026-01-24 00:00:00+00:00,0,0,0,0
2026-01-25 00:00:00+00:00,0,0,0,0
2026-01-26 00:00:00+00:00,0,0,0,0
2026-01-27 00:00:00+00:00,14,8,0,0
2026-01-28 00:00:00+00:00,11,8,0,0
2026-01-29 00:00:00+00:00,34,15,9,1
2026-01-30 00:00:00+00:00,3,3,1,1
2026-01-31 00:00:00+00:00,25,14,0,0
2026-02-01 00:00:00+00:00,42,24,3,2
2026-02-02 00:00:00+00:00,32,17,8,1
2026-02-03 00:00:00+00:00,22,13,15,2
2026-02-04 00:00:00+00:00,3,3,0,0
2026-02-05 00:00:00+00:00,1,1,0,0
