time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-23 00:00:00+00:00,296,141,,
2025-09-24 00:00:00+00:00,222,135,,
2025-09-25 00:00:00+00:00,237,110,,
2025-09-26 00:00:00+00:00,302,141,,
2025-09-27 00:00:00+00:00,213,110,,
2025-09-28 00:00:00+00:00,230,107,,
2025-09-29 00:00:00+00:00,225,107,,
2025-09-30 00:00:00+00:00,353,188,,
2025-10-01 00:00:00+00:00,469,223,,
2025-10-02 00:00:00+00:00,473,201,,
2025-10-03 00:00:00+00:00,352,166,,
2025-10-04 00:00:00+00:00,322,142,,
2025-10-05 00:00:00+00:00,473,170,,
2025-10-06 00:00:00+00:00,436,203,,
