time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-22 00:00:00+00:00,343,167,0,0
2025-08-23 00:00:00+00:00,260,125,0,0
2025-08-24 00:00:00+00:00,167,75,0,0
2025-08-25 00:00:00+00:00,139,90,0,0
2025-08-26 00:00:00+00:00,172,107,0,0
2025-08-27 00:00:00+00:00,352,180,0,0
2025-08-28 00:00:00+00:00,349,164,0,0
2025-08-29 00:00:00+00:00,316,131,0,0
2025-08-30 00:00:00+00:00,319,122,0,0
2025-08-31 00:00:00+00:00,343,148,0,0
2025-09-01 00:00:00+00:00,713,228,0,0
2025-09-02 00:00:00+00:00,903,323,0,0
2025-09-03 00:00:00+00:00,687,273,0,0
2025-09-04 00:00:00+00:00,433,220,0,0
2025-09-05 00:00:00+00:00,331,140,1,1
2025-09-06 00:00:00+00:00,317,125,0,0
2025-09-07 00:00:00+00:00,355,129,0,0
2025-09-08 00:00:00+00:00,302,174,0,0
