time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-25 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,2,2,0,0
2025-09-09 00:00:00+00:00,15,13,24,1
2025-09-13 00:00:00+00:00,1,1,0,0
2025-09-16 00:00:00+00:00,1,1,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-19 00:00:00+00:00,4,2,0,0
2025-09-20 00:00:00+00:00,2,2,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-09-30 00:00:00+00:00,1,1,3,1
2025-10-03 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-07 00:00:00+00:00,9,9,15,1
2025-10-08 00:00:00+00:00,3,3,0,0
2025-10-09 00:00:00+00:00,4,4,0,0
2025-10-15 00:00:00+00:00,2,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-23 00:00:00+00:00,1,1,0,0
2025-10-26 00:00:00+00:00,1,1,0,0
