time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-25 00:00:00+00:00,1,1,0,0
2025-08-29 00:00:00+00:00,1,1,0,0
2025-08-30 00:00:00+00:00,1,1,0,0
2025-08-31 00:00:00+00:00,0,0,1,1
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-06 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,2,2,0,0
2025-09-08 00:00:00+00:00,6,6,4,1
2025-09-09 00:00:00+00:00,0,0,1,1
2025-09-16 00:00:00+00:00,2,1,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-25 00:00:00+00:00,0,0,8,1
2025-09-29 00:00:00+00:00,2,1,0,0
2025-10-03 00:00:00+00:00,1,1,0,0
2025-10-09 00:00:00+00:00,2,2,0,0
2025-10-15 00:00:00+00:00,2,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-23 00:00:00+00:00,1,1,0,0
2025-10-26 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
2025-10-31 00:00:00+00:00,1,1,0,0
