time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-23 00:00:00+00:00,0,0,6,1
2025-08-26 00:00:00+00:00,1,1,0,0
2025-08-29 00:00:00+00:00,1,1,0,0
2025-08-30 00:00:00+00:00,0,0,6,1
2025-09-06 00:00:00+00:00,0,0,3,1
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-09 00:00:00+00:00,8,7,3,1
2025-09-11 00:00:00+00:00,0,0,1,1
2025-09-12 00:00:00+00:00,0,0,1,1
2025-09-13 00:00:00+00:00,6,4,0,0
2025-09-16 00:00:00+00:00,2,1,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-18 00:00:00+00:00,1,1,0,0
2025-09-20 00:00:00+00:00,0,0,6,1
2025-09-22 00:00:00+00:00,0,0,6,1
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-26 00:00:00+00:00,0,0,7,1
2025-10-02 00:00:00+00:00,1,1,0,0
2025-10-06 00:00:00+00:00,1,1,0,0
2025-10-09 00:00:00+00:00,1,1,0,0
2025-10-10 00:00:00+00:00,1,1,1,1
2025-10-18 00:00:00+00:00,0,0,1,1
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-21 00:00:00+00:00,1,1,0,0
2025-10-23 00:00:00+00:00,1,1,1,1
2025-10-27 00:00:00+00:00,2,2,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
2025-10-29 00:00:00+00:00,1,1,0,0
2025-11-01 00:00:00+00:00,1,1,6,1
