time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-22 00:00:00+00:00,2,2,0,0
2025-08-27 00:00:00+00:00,0,0,1,1
2025-09-01 00:00:00+00:00,0,0,1,1
2025-09-02 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-09 00:00:00+00:00,5,5,3,1
2025-09-12 00:00:00+00:00,2,1,0,0
2025-09-13 00:00:00+00:00,2,2,0,0
2025-09-15 00:00:00+00:00,1,1,0,0
2025-09-16 00:00:00+00:00,2,1,0,0
2025-09-18 00:00:00+00:00,1,1,0,0
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-24 00:00:00+00:00,0,0,1,1
2025-09-25 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,2,2,0,0
2025-10-02 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-05 00:00:00+00:00,1,1,0,0
2025-10-06 00:00:00+00:00,1,1,0,0
2025-10-11 00:00:00+00:00,2,2,0,0
2025-10-14 00:00:00+00:00,1,1,0,0
2025-10-16 00:00:00+00:00,1,1,0,0
