time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-24 00:00:00+00:00,1,1,0,0
2025-08-27 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,7,7,0,0
2025-08-29 00:00:00+00:00,2,2,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-02 00:00:00+00:00,5,2,0,0
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-08 00:00:00+00:00,7,7,3,1
2025-09-09 00:00:00+00:00,9,8,5,1
2025-09-10 00:00:00+00:00,1,1,0,0
2025-09-12 00:00:00+00:00,1,1,0,0
2025-09-13 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,0,0,1,1
2025-09-15 00:00:00+00:00,2,2,0,0
2025-09-16 00:00:00+00:00,49,41,10,1
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-20 00:00:00+00:00,3,3,0,0
2025-09-22 00:00:00+00:00,1,1,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-30 00:00:00+00:00,2,2,0,0
2025-10-02 00:00:00+00:00,2,2,0,0
2025-10-05 00:00:00+00:00,1,1,0,0
2025-10-10 00:00:00+00:00,1,1,0,0
2025-10-12 00:00:00+00:00,1,1,0,0
2025-10-15 00:00:00+00:00,4,1,0,0
