time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-23 00:00:00+00:00,7,1,0,0
2025-08-24 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-02 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-09 00:00:00+00:00,12,9,3,1
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-16 00:00:00+00:00,1,1,0,0
2025-09-19 00:00:00+00:00,4,3,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-26 00:00:00+00:00,2,2,0,0
2025-09-27 00:00:00+00:00,0,0,4,1
2025-09-28 00:00:00+00:00,0,0,2,1
2025-09-29 00:00:00+00:00,0,0,1,1
2025-10-07 00:00:00+00:00,1,1,0,0
2025-10-09 00:00:00+00:00,1,1,0,0
2025-10-10 00:00:00+00:00,1,1,0,0
2025-10-11 00:00:00+00:00,1,1,0,0
2025-10-17 00:00:00+00:00,1,1,0,0
2025-10-18 00:00:00+00:00,0,0,1,1
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-22 00:00:00+00:00,1,1,0,0
2025-10-23 00:00:00+00:00,1,1,1,1
