time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-22 00:00:00+00:00,1,1,0,0
2025-08-24 00:00:00+00:00,0,0,1,1
2025-08-26 00:00:00+00:00,0,0,2,1
2025-08-30 00:00:00+00:00,0,0,1,1
2025-09-01 00:00:00+00:00,0,0,9,3
2025-09-02 00:00:00+00:00,6,4,16,4
2025-09-03 00:00:00+00:00,0,0,3,1
2025-09-04 00:00:00+00:00,1,1,0,0
2025-09-06 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-08 00:00:00+00:00,1,1,3,1
2025-09-10 00:00:00+00:00,1,1,0,0
2025-09-11 00:00:00+00:00,1,1,0,0
2025-09-12 00:00:00+00:00,0,0,2,2
2025-09-15 00:00:00+00:00,0,0,1,1
2025-09-16 00:00:00+00:00,2,1,1,1
2025-09-17 00:00:00+00:00,0,0,3,1
2025-09-18 00:00:00+00:00,1,1,1,1
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-21 00:00:00+00:00,1,1,0,0
