time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-22 00:00:00+00:00,2,2,0,0
2025-09-08 00:00:00+00:00,0,0,3,1
2025-09-15 00:00:00+00:00,0,0,2,1
2025-09-16 00:00:00+00:00,0,0,1,1
2025-09-19 00:00:00+00:00,5,3,0,0
2025-09-24 00:00:00+00:00,2,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-09-29 00:00:00+00:00,1,1,0,0
2025-10-10 00:00:00+00:00,1,1,0,0
2025-10-13 00:00:00+00:00,1,1,0,0
2025-10-14 00:00:00+00:00,2,2,0,0
2025-10-15 00:00:00+00:00,1,1,0,0
2025-10-25 00:00:00+00:00,1,1,0,0
