time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-27 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,1,1,0,0
2025-08-30 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-26 00:00:00+00:00,1,1,0,0
2025-09-28 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-06 00:00:00+00:00,1,1,0,0
2025-10-15 00:00:00+00:00,2,1,0,0
2025-10-18 00:00:00+00:00,2,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-20 00:00:00+00:00,2,1,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
