time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-27 00:00:00+00:00,1,1,0,0
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,2,2,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-26 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-05 00:00:00+00:00,1,1,0,0
2025-10-11 00:00:00+00:00,1,1,0,0
2025-10-13 00:00:00+00:00,1,1,0,0
2025-10-15 00:00:00+00:00,2,1,0,0
2025-10-17 00:00:00+00:00,1,1,0,0
