time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-26 00:00:00+00:00,1,1,0,0
2025-08-30 00:00:00+00:00,1,1,0,0
2025-09-03 00:00:00+00:00,1,1,0,0
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-09 00:00:00+00:00,15,6,8,1
2025-09-13 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,2,2,0,0
2025-09-16 00:00:00+00:00,0,0,1,1
2025-09-18 00:00:00+00:00,1,1,1,1
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-25 00:00:00+00:00,1,1,0,0
2025-09-26 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-11 00:00:00+00:00,1,1,0,0
2025-10-13 00:00:00+00:00,1,1,0,0
2025-10-15 00:00:00+00:00,1,1,0,0
2025-10-18 00:00:00+00:00,2,2,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-23 00:00:00+00:00,1,1,0,0
2025-10-24 00:00:00+00:00,1,1,0,0
2025-10-25 00:00:00+00:00,1,1,0,0
2025-10-26 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
2025-11-01 00:00:00+00:00,1,1,0,0
